Id;Tipo;Objeto_Pai;Tipo_Objeto_Pai;Descricao_Breve;Ref_Legado_Arquivo;Ref_Legado_Linhas;Desc_Abordagem;Ref_Doc_Abordagem;Ref_Doc_Linhas;Status_Documentacao;Status_Implementacao;Status_Teste_Unitario;Ref_Doc_AsIs;Ref_Doc_AsIs_Linhas
QUERY-0110;QUERY;METOD-0103;METODO;SELECT: V0SISTEMA WHERE IDSISTEM='VG' - Busca data abertura sistema;_LEGADO/vgfna.esf;2883-2916;Migrada de SELECT DB2 COBOL para SistemaRepository.GetDataAbertura() com Dapper no backend .NET Core - Query SQL SELECT com filtro fixo IDSISTEM='VG' - Mapeamento DB2 para SQL Server - Retorno assíncrono (async/await) - Tratamento de exceções - Logging de operações - Connection management via DI - Mapeamento para entidade Sistema;backend_vgfna/03_INFRASTRUCTURE_LAYER.md;46-56;OK;NOK;NOK;02_MODELO_DADOS_VGFNA.md;205-207, 245
ENT-0101;ENTIDADE;RAIZ;SISTEMA;V0APOLICE - Tabela apólice;_LEGADO/vgfna.esf;3800;Migrada de tabela DB2 para entidade Apolice no Domain Model .NET Core - Classe C# com propriedades tipadas - Mapeamento de campos DB2 para propriedades C# - Data Annotations para validação - Suporte a nullable types - Propriedades de auditoria - Interface IEntity para rastreabilidade;backend_vgfna/01_DOMAIN_MODEL.md;31-55;OK;NOK;NA;02_MODELO_DADOS_VGFNA.md;112-127
ENT-0102;ENTIDADE;RAIZ;SISTEMA;V0SUBGRUPO - Tabela subgrupo;_LEGADO/vgfna.esf;4000;Migrada de tabela DB2 para entidade Subgrupo no Domain Model .NET Core - Classe C# com propriedades tipadas - Mapeamento de campos DB2 para propriedades C# - Data Annotations para validação - Chave composta (NUM_APOLICE, COD_SUBGRUPO) - Propriedades de auditoria - Interface IEntity para rastreabilidade;backend_vgfna/01_DOMAIN_MODEL.md;57-120;OK;NOK;NA;02_MODELO_DADOS_VGFNA.md;45-90
ENT-0103;ENTIDADE;RAIZ;SISTEMA;V0TERMOADESAO - Tabela termo adesão;_LEGADO/vgfna.esf;4200;Migrada de tabela DB2 para entidade TermoAdesao no Domain Model .NET Core - Classe C# com propriedades tipadas - Mapeamento de campos DB2 para propriedades C# - Data Annotations para validação - Chave composta (COD_SUBGRUPO, NUM_APOLICE) - Propriedades de auditoria - Interface IEntity para rastreabilidade;backend_vgfna/01_DOMAIN_MODEL.md;122-180;OK;NOK;NA;02_MODELO_DADOS_VGFNA.md;93-109
ENT-0104;ENTIDADE;RAIZ;SISTEMA;V1CLIENTE - Tabela cliente;_LEGADO/vgfna.esf;;Migrada de tabela DB2 para entidade Cliente no Domain Model .NET Core - Classe C# com propriedades tipadas - Mapeamento de campos DB2 para propriedades C# - Data Annotations para validação - Suporte a nullable types - Propriedades de auditoria - Interface IEntity para rastreabilidade;backend_vgfna/01_DOMAIN_MODEL.md;182-220;OK;NOK;NA;02_MODELO_DADOS_VGFNA.md;130-143
ENT-0105;ENTIDADE;RAIZ;SISTEMA;V1ENDERECOS - Tabela endereços;_LEGADO/vgfna.esf;;Migrada de tabela DB2 para entidade Endereco no Domain Model .NET Core - Classe C# com propriedades tipadas - Mapeamento de campos DB2 para propriedades C# - Data Annotations para validação - Suporte a nullable types - Propriedades de auditoria - Interface IEntity para rastreabilidade;backend_vgfna/01_DOMAIN_MODEL.md;222-260;OK;NOK;NA;02_MODELO_DADOS_VGFNA.md;146-159
ENT-0106;ENTIDADE;RAIZ;SISTEMA;V1AGENCIAS - Tabela agências bancárias;_LEGADO/vgfna.esf;;Migrada de tabela DB2 para entidade AgenciaBancaria no Domain Model .NET Core - Classe C# com propriedades tipadas - Mapeamento de campos DB2 para propriedades C# - Data Annotations para validação - Suporte a nullable types - Propriedades de auditoria - Interface IEntity para rastreabilidade;backend_vgfna/01_DOMAIN_MODEL.md;262-300;OK;NOK;NA;02_MODELO_DADOS_VGFNA.md;162-175
ENT-0107;ENTIDADE;RAIZ;SISTEMA;V1FONTE - Tabela fontes produtoras;_LEGADO/vgfna.esf;;Migrada de tabela DB2 para entidade FonteProdutora no Domain Model .NET Core - Classe C# com propriedades tipadas - Mapeamento de campos DB2 para propriedades C# - Data Annotations para validação - Suporte a nullable types - Propriedades de auditoria - Interface IEntity para rastreabilidade;backend_vgfna/01_DOMAIN_MODEL.md;302-340;OK;NOK;NA;02_MODELO_DADOS_VGFNA.md;178-191
ENT-0108;ENTIDADE;RAIZ;SISTEMA;V0SISTEMA - Tabela sistema;_LEGADO/vgfna.esf;;Migrada de tabela DB2 para entidade Sistema no Domain Model .NET Core - Classe C# com propriedades tipadas - Mapeamento de campos DB2 para propriedades C# - Data Annotations para validação - Suporte a nullable types - Propriedades de auditoria - Interface IEntity para rastreabilidade;backend_vgfna/01_DOMAIN_MODEL.md;342-380;OK;NOK;NA;02_MODELO_DADOS_VGFNA.md;194-207
ENT-0109;ENTIDADE;RAIZ;SISTEMA;ZZ01T14 - Tabela domínio período faturamento;_LEGADO/vgfna.esf;;Migrada de tabela DB2 para tabela de domínio no Database Schema SQL Server - Tabela de referência estática - Mapeamento para enum ou tabela de domínio - Uso em SelectInput no frontend - Validação de valores permitidos - Documentação de valores válidos;backend_vgfna/02_DATABASE_SCHEMA.md;200-220;OK;NOK;NA;02_MODELO_DADOS_VGFNA.md;212-214
ENT-0110;ENTIDADE;RAIZ;SISTEMA;ZZ01T17 - Tabela domínio forma faturamento;_LEGADO/vgfna.esf;;Migrada de tabela DB2 para tabela de domínio no Database Schema SQL Server - Tabela de referência estática - Mapeamento para enum ou tabela de domínio - Uso em SelectInput no frontend - Validação de valores permitidos - Documentação de valores válidos;backend_vgfna/02_DATABASE_SCHEMA.md;222-242;OK;NOK;NA;02_MODELO_DADOS_VGFNA.md;216-218
ENT-0111;ENTIDADE;RAIZ;SISTEMA;ZZ01T18 - Tabela domínio forma averbação;_LEGADO/vgfna.esf;;Migrada de tabela DB2 para tabela de domínio no Database Schema SQL Server - Tabela de referência estática - Mapeamento para enum ou tabela de domínio - Uso em SelectInput no frontend - Validação de valores permitidos - Documentação de valores válidos;backend_vgfna/02_DATABASE_SCHEMA.md;244-264;OK;NOK;NA;02_MODELO_DADOS_VGFNA.md;220-222
ENT-0112;ENTIDADE;RAIZ;SISTEMA;ZZ01T19 - Tabela domínio tipo plano;_LEGADO/vgfna.esf;;Migrada de tabela DB2 para tabela de domínio no Database Schema SQL Server - Tabela de referência estática - Mapeamento para enum ou tabela de domínio - Uso em SelectInput no frontend - Validação de valores permitidos - Documentação de valores válidos;backend_vgfna/02_DATABASE_SCHEMA.md;266-286;OK;NOK;NA;02_MODELO_DADOS_VGFNA.md;224-226
ENT-0113;ENTIDADE;RAIZ;SISTEMA;ZZ01T21 - Tabela domínio tipo cobrança;_LEGADO/vgfna.esf;;Migrada de tabela DB2 para tabela de domínio no Database Schema SQL Server - Tabela de referência estática - Mapeamento para enum ou tabela de domínio - Uso em SelectInput no frontend - Validação de valores permitidos - Documentação de valores válidos;backend_vgfna/02_DATABASE_SCHEMA.md;288-308;OK;NOK;NA;02_MODELO_DADOS_VGFNA.md;228-230
ENT-0114;ENTIDADE;RAIZ;SISTEMA;VGFNW001 - Workstorage area principal;_LEGADO/vgfna.esf;25;Migrada de workstorage COBOL para DTOs e ViewModels no Domain Model .NET Core - DTOs para transferência de dados entre camadas - ViewModels para lógica de apresentação - Não é entidade de domínio (área temporária) - Mapeamento de campos workstorage para propriedades C# - Validação de dados temporários;backend_vgfna/01_DOMAIN_MODEL.md;400-450;OK;NOK;NA;02_MODELO_DADOS_VGFNA.md;386-417
ENT-0115;ENTIDADE;RAIZ;SISTEMA;ZZ99W01 - Workstorage área parâmetros;_LEGADO/vgfna.esf;;Migrada de workstorage COBOL para DTOs de parâmetros no Domain Model .NET Core - DTOs para transferência de dados entre camadas - Não é entidade de domínio (área temporária) - Mapeamento de campos workstorage para propriedades C# - Validação de parâmetros - Uso em requisições HTTP;backend_vgfna/01_DOMAIN_MODEL.md;452-500;OK;NOK;NA;02_MODELO_DADOS_VGFNA.md;420-438
